도메인,시스템,모듈러시스템,부품,사양,단가,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10
,,,부품08,사양A,126,신규,신규,-,-,신규,-,공용,-,-,공용
,,,부품09,사양A,178,-,-,-,-,-,-,-,공용,-,-
,,,부품10,사양A,169,-,공용,-,-,-,신규,신규,-,공용,-
,,,부품10,사양B,453,-,신규,신규,공용,-,신규,공용,-,신규,신규
샤시,시스템06,모듈러026,부품01,사양A,97,-,신규,-,공용,-,-,공용,-,-,-
,,,부품02,사양A,418,-,-,-,신규,공용,신규,공용,공용,-,신규
,,,부품02,사양B,496,공용,-,-,-,-,-,-,공용,-,-
,,,부품03,사양A,305,-,-,-,-,-,공용,-,신규,-,신규
,,,부품04,사양A,423,-,공용,-,공용,-,-,-,신규,-,공용
,,,부품04,사양B,178,-,공용,공용,공용,-,공용,신규,-,-,-
,,,부품05,사양A,323,-,신규,신규,-,-,공용,공용,공용,-,-
,,,부품05,사양B,445,-,신규,공용,공용,-,신규,-,-,-,-
,,,부품06,사양A,266,-,-,신규,-,공용,-,-,-,-,-
,,,부품07,사양A,297,-,-,-,공용,-,-,공용,공용,신규,-
,,,부품08,사양A,306,-,-,신규,-,신규,-,공용,공용,신규,공용
,,,부품09,사양A,468,신규,-,공용,-,공용,신규,-,-,-,공용
,,,부품09,사양B,16,공용,-,신규,-,-,-,-,-,-,-
,,,부품10,사양A,479,공용,공용,-,공용,신규,-,-,-,-,-
의장,시스템06,모듈러027,부품01,사양A,287,신규,-,신규,공용,-,-,공용,공용,-,신규
,,,부품02,사양A,183,-,공용,-,공용,-,-,-,공용,신규,신규
,,,부품02,사양B,189,-,공용,신규,공용,공용,-,신규,공용,-,-
,,,부품03,사양A,340,-,-,-,-,신규,-,신규,-,-,-
,,,부품03,사양B,129,-,공용,신규,-,-,공용,-,신규,-,-
,,,부품04,사양A,477,-,-,-,-,-,-,신규,공용,-,공용
,,,부품04,사양B,486,신규,공용,-,공용,신규,공용,-,신규,신규,공용
,,,부품05,사양A,348,신규,신규,-,신규,-,공용,공용,공용,-,공용
,,,부품06,사양A,96,신규,-,신규,-,-,신규,-,-,신규,신규
,,,부품06,사양B,215,-,-,공용,-,-,신규,-,공용,-,공용
,,,부품07,사양A,192,신규,-,-,-,-,공용,-,공용,-,-
,,,부품08,사양A,80,-,-,-,-,신규,-,-,-,-,-
,,,부품08,사양B,127,-,-,신규,-,공용,공용,-,-,-,-
,,,부품09,사양A,11,-,공용,-,공용,-,-,공용,-,-,-
,,,부품09,사양B,188,공용,공용,공용,공용,-,공용,-,-,-,신규
,,,부품10,사양A,84,공용,공용,-,-,공용,-,신규,-,-,-
,,,부품10,사양B,144,-,-,공용,-,공용,-,-,공용,-,-
파워트레인,시스템06,모듈러028,부품01,사양A,50,-,-,신규,신규,-,-,-,-,-,-
,,,부품02,사양A,93,-,-,-,공용,-,공용,-,신규,-,-
,,,부품02,사양B,429,신규,공용,-,-,공용,-,공용,-,신규,-
,,,부품03,사양A,349,공용,-,-,신규,-,-,-,-,공용,공용
,,,부품04,사양A,66,신규,-,-,공용,공용,-,-,-,-,신규
,,,부품05,사양A,388,공용,-,공용,신규,신규,-,-,공용,-,-
,,,부품05,사양B,33,신규,신규,신규,-,신규,-,-,-,신규,-
,,,부품06,사양A,143,-,-,신규,공용,-,신규,-,-,-,-
,,,부품06,사양B,122,공용,-,-,-,-,-,-,공용,-,공용
,,,부품07,사양A,198,-,공용,-,신규,-,-,-,-,-,공용
,,,부품08,사양A,333,-,-,공용,-,-,-,-,-,-,-
,,,부품08,사양B,50,-,신규,공용,공용,-,신규,신규,-,신규,신규
,,,부품09,사양A,470,신규,공용,-,공용,-,-,-,-,-,공용
,,,부품10,사양A,110,-,공용,신규,-,신규,-,신규,공용,-,-
샤시,시스템06,모듈러029,부품01,사양A,220,-,-,신규,-,-,-,-,-,신규,-
,,,부품01,사양B,187,-,-,-,-,신규,-,-,-,-,신규
,,,부품02,사양A,280,신규,신규,-,신규,신규,-,-,신규,공용,-
,,,부품03,사양A,412,신규,-,-,신규,-,-,신규,-,-,-
,,,부품04,사양A,365,신규,신규,-,공용,-,-,-,신규,-,공용
,,,부품05,사양A,304,-,-,신규,-,-,-,신규,신규,-,신규
,,,부품05,사양B,99,-,-,신규,공용,-,-,공용,-,-,공용
,,,부품06,사양A,85,-,신규,신규,신규,-,신규,공용,-,-,-
,,,부품06,사양B,45,-,신규,-,-,-,-,-,신규,공용,-
,,,부품07,사양A,205,-,신규,공용,공용,신규,공용,공용,공용,-,-
,,,부품07,사양B,133,-,-,신규,신규,신규,-,신규,공용,신규,공용
,,,부품08,사양A,325,-,-,-,신규,-,-,신규,-,-,신규
,,,부품08,사양B,231,-,-,신규,-,신규,-,-,-,-,-
,,,부품09,사양A,397,-,-,공용,-,-,-,-,공용,-,공용
,,,부품10,사양A,257,신규,-,-,-,공용,-,-,신규,신규,-
전장,시스템06,모듈러030,부품01,사양A,370,-,-,-,-,-,신규,-,공용,-,신규
,,,부품02,사양A,141,공용,-,-,-,-,-,-,-,-,신규
,,,부품03,사양A,391,공용,-,-,신규,신규,-,-,공용,공용,-
,,,부품04,사양A,127,-,-,-,-,-,-,신규,-,공용,-
,,,부품04,사양B,14,공용,-,-,-,-,신규,공용,-,공용,-
,,,부품05,사양A,196,-,신규,-,공용,신규,신규,-,-,-,신규
,,,부품05,사양B,196,-,공용,공용,신규,-,-,-,-,신규,공용
,,,부품06,사양A,429,-,공용,공용,신규,-,신규,-,공용,신규,-
,,,부품06,사양B,424,-,공용,공용,공용,-,공용,신규,신규,신규,-
,,,부품07,사양A,197,신규,신규,-,공용,-,-,공용,-,공용,공용
,,,부품07,사양B,307,공용,-,-,-,-,-,신규,-,-,공용
,,,부품08,사양A,61,신규,-,-,-,-,-,-,신규,-,-
,,,부품08,사양B,380,-,공용,-,신규,-,-,신규,-,-,신규
,,,부품09,사양A,266,-,-,-,신규,공용,-,공용,공용,신규,-
,,,부품10,사양A,490,-,-,-,-,신규,-,-,-,-,-
,,,부품10,사양B,31,-,-,신규,-,공용,-,신규,공용,-,신규
파워트레인,시스템07,모듈러031,부품01,사양A,495,-,-,공용,-,신규,공용,공용,공용,-,-
,,,부품02,사양A,335,공용,-,-,신규,공용,-,공용,신규,신규,신규
,,,부품02,사양B,430,-,공용,-,-,신규,신규,-,신규,신규,공용
,,,부품03,사양A,224,공용,-,공용,-,-,-,-,신규,-,공용
,,,부품04,사양A,50,공용,-,-,-,-,신규,-,-,-,-
,,,부품05,사양A,493,공용,-,공용,-,-,-,-,-,신규,-
,,,부품06,사양A,173,-,-,-,-,-,신규,-,신규,공용,신규
,,,부품06,사양B,298,공용,공용,신규,-,신규,-,-,-,-,공용
,,,부품07,사양A,313,-,공용,신규,-,공용,-,-,신규,-,-
,,,부품07,사양B,301,공용,신규,공용,-,-,-,-,-,신규,-
,,,부품08,사양A,236,-,-,-,-,-,-,-,-,-,신규
,,,부품08,사양B,381,-,신규,-,-,공용,신규,-,공용,-,-
,,,부품09,사양A,191,공용,신규,신규,-,공용,공용,신규,-,-,공용
,,,부품09,사양B,392,-,공용,공용,-,-,-,-,-,-,공용
,,,부품10,사양A,484,-,-,공용,-,공용,공용,공용,-,-,-
,,,부품10,사양B,12,-,신규,-,신규,공용,-,신규,-,-,-
파워트레인,시스템07,모듈러032,부품01,사양A,219,-,신규,-,공용,공용,-,-,공용,-,-
,,,부품01,사양B,15,-,-,-,신규,신규,신규,-,-,신규,신규
,,,부품02,사양A,237,공용,-,-,-,-,-,-,신규,-,-
,,,부품02,사양B,178,-,-,신규,-,-,신규,공용,-,-,-
,,,부품03,사양A,403,신규,신규,-,-,신규,-,-,공용,공용,공용
,,,부품04,사양A,406,-,-,-,신규,-,신규,-,-,-,-
,,,부품05,사양A,259,-,-,-,-,-,신규,공용,-,-,-
,,,부품05,사양B,242,-,-,공용,-,-,-,-,-,-,-
,,,부품06,사양A,172,-,공용,-,신규,-,공용,신규,신규,신규,신규
,,,부품07,사양A,287,-,-,신규,신규,-,-,-,-,-,-
,,,부품08,사양A,196,-,-,-,-,공용,-,-,-,-,-
,,,부품08,사양B,228,-,-,공용,-,공용,-,공용,공용,-,공용
,,,부품09,사양A,399,공용,-,-,공용,-,신규,-,공용,공용,-
,,,부품10,사양A,217,-,공용,공용,-,-,공용,공용,-,-,공용
샤시,시스템07,모듈러033,부품01,사양A,198,공용,공용,공용,신규,공용,신규,-,-,공용,공용
,,,부품01,사양B,23,공용,공용,-,-,-,공용,공용,공용,공용,-
,,,부품02,사양A,386,-,-,신규,-,-,신규,공용,공용,-,-
,,,부품03,사양A,457,-,공용,-,-,공용,-,-,-,-,-
,,,부품03,사양B,317,-,공용,-,신규,신규,-,-,신규,-,-
,,,부품04,사양A,417,-,-,-,공용,공용,-,-,-,-,신규
,,,부품04,사양B,302,-,신규,-,공용,-,공용,신규,공용,-,공용
,,,부품05,사양A,326,-,-,-,신규,-,-,신규,-,-,-
,,,부품06,사양A,478,신규,신규,-,신규,공용,-,공용,신규,공용,-
,,,부품07,사양A,68,공용,공용,-,-,-,공용,-,-,공용,-
,,,부품07,사양B,115,신규,신규,-,-,-,-,신규,-,신규,공용
,,,부품08,사양A,94,-,-,-,-,공용,신규,공용,-,-,신규
,,,부품09,사양A,60,공용,-,공용,신규,-,신규,-,-,-,신규
,,,부품09,사양B,491,-,-,-,공용,신규,-,-,-,-,-
,,,부품10,사양A,410,-,-,-,-,-,-,공용,공용,-,공용
바디,시스템07,모듈러034,부품01,사양A,254,-,공용,-,-,-,-,-,-,-,-
,,,부품01,사양B,325,-,-,-,-,-,-,-,-,-,-
,,,부품02,사양A,340,신규,-,신규,-,-,-,-,-,신규,-
,,,부품02,사양B,178,-,-,신규,-,-,공용,-,신규,신규,-
,,,부품03,사양A,360,-,신규,-,-,-,-,신규,-,-,-
,,,부품03,사양B,58,-,-,-,공용,-,-,공용,-,-,-
,,,부품04,사양A,179,신규,신규,공용,-,공용,-,-,공용,신규,-
,,,부품04,사양B,255,신규,공용,신규,공용,-,신규,신규,-,신규,-
,,,부품05,사양A,347,-,-,-,-,-,신규,공용,-,-,-
,,,부품05,사양B,113,신규,-,-,신규,공용,-,-,신규,-,공용
,,,부품06,사양A,484,신규,공용,-,-,신규,-,공용,신규,공용,-
,,,부품06,사양B,132,신규,신규,공용,-,-,신규,-,-,-,신규
,,,부품07,사양A,174,공용,-,신규,-,-,신규,신규,신규,신규,-
,,,부품08,사양A,345,신규,공용,-,-,-,-,-,-,-,신규
,,,부품08,사양B,10,-,공용,신규,-,공용,공용,신규,공용,-,-
,,,부품09,사양A,469,-,신규,신규,-,-,-,-,-,공용,신규
,,,부품10,사양A,62,신규,-,신규,-,-,공용,공용,공용,신규,-
,,,부품10,사양B,476,-,신규,-,신규,-,공용,신규,-,-,공용
샤시,시스템07,모듈러035,부품01,사양A,64,신규,-,-,-,신규,공용,-,공용,신규,-
,,,부품02,사양A,362,-,공용,신규,-,공용,신규,-,공용,-,신규
,,,부품02,사양B,378,-,-,-,-,-,-,-,-,-,-
,,,부품03,사양A,390,신규,신규,-,-,공용,-,신규,신규,공용,-
,,,부품04,사양A,185,-,공용,-,-,신규,-,-,-,-,-
,,,부품04,사양B,338,공용,-,신규,-,-,신규,공용,-,신규,-
,,,부품05,사양A,173,공용,-,-,-,신규,-,공용,신규,-,-
,,,부품06,사양A,469,공용,-,-,신규,공용,공용,-,-,-,신규
,,,부품07,사양A,267,-,-,공용,-,-,-,공용,-,-,공용
,,,부품07,사양B,337,-,신규,신규,공용,-,-,-,공용,-,-
,,,부품08,사양A,157,-,-,-,-,-,공용,-,-,-,신규
,,,부품09,사양A,39,-,신규,공용,-,공용,-,신규,-,-,-
,,,부품10,사양A,141,신규,공용,-,-,공용,공용,신규,신규,-,공용
,,,부품10,사양B,194,신규,-,-,공용,-,-,신규,-,-,신규
샤시,시스템08,모듈러036,부품01,사양A,121,-,-,-,공용,신규,공용,-,신규,-,-
,,,부품01,사양B,346,-,-,-,-,-,-,-,-,-,공용
,,,부품02,사양A,479,신규,-,공용,-,공용,신규,신규,신규,신규,공용
,,,부품02,사양B,140,-,공용,-,-,-,신규,-,-,신규,공용
,,,부품03,사양A,24,-,-,-,-,-,-,-,-,-,-
,,,부품04,사양A,126,-,공용,공용,-,신규,-,공용,-,-,공용
,,,부품05,사양A,27,신규,-,-,-,신규,-,-,-,-,신규
,,,부품05,사양B,115,-,-,신규,-,공용,공용,신규,-,-,공용
,,,부품06,사양A,337,-,-,-,-,-,신규,-,-,-,-
,,,부품06,사양B,269,-,공용,신규,-,-,-,-,-,신규,신규
,,,부품07,사양A,460,-,-,-,-,-,-,-,-,-,-
,,,부품08,사양A,425,-,-,-,-,신규,-,-,-,-,-
,,,부품09,사양A,441,-,신규,-,-,-,-,-,공용,-,공용
,,,부품10,사양A,25,-,공용,-,-,-,신규,-,-,신규,-
,,,부품10,사양B,327,-,-,신규,신규,신규,공용,-,-,-,신규
샤시,시스템08,모듈러037,부품01,사양A,280,-,-,신규,-,신규,공용,-,-,신규,신규
,,,부품02,사양A,422,-,-,-,-,공용,신규,-,신규,-,-
,,,부품03,사양A,330,신규,-,공용,신규,-,신규,신규,-,-,-
,,,부품04,사양A,193,-,신규,공용,공용,-,-,신규,-,-,-
,,,부품05,사양A,151,-,-,공용,-,신규,신규,-,-,공용,-
,,,부품06,사양A,263,-,-,-,공용,-,-,-,공용,-,-
,,,부품07,사양A,69,-,-,-,-,-,-,신규,-,-,공용
,,,부품07,사양B,438,-,-,-,-,-,-,신규,-,신규,신규
,,,부품08,사양A,394,-,-,신규,-,-,공용,공용,공용,공용,-
,,,부품08,사양B,136,-,-,공용,-,공용,신규,-,공용,-,-
,,,부품09,사양A,163,신규,신규,-,신규,-,-,-,-,공용,-
,,,부품09,사양B,99,-,공용,-,-,-,-,-,신규,공용,-
,,,부품10,사양A,39,공용,-,-,-,-,-,-,-,-,-
,,,부품10,사양B,327,공용,신규,신규,신규,-,공용,-,-,-,-
샤시,시스템08,모듈러038,부품01,사양A,392,-,공용,-,공용,-,공용,신규,-,-,-
,,,부품01,사양B,82,-,신규,-,-,공용,-,-,공용,신규,공용
,,,부품02,사양A,128,신규,신규,-,-,-,-,-,공용,-,-
,,,부품02,사양B,434,-,-,-,-,-,-,공용,신규,공용,-
,,,부품03,사양A,12,-,-,공용,-,-,신규,신규,신규,-,-
,,,부품04,사양A,208,-,공용,공용,신규,-,-,신규,공용,공용,공용
,,,부품04,사양B,311,-,공용,-,공용,신규,신규,공용,-,신규,공용
,,,부품05,사양A,289,-,-,-,신규,공용,공용,-,-,-,-
,,,부품05,사양B,469,-,-,신규,공용,공용,-,-,공용,-,신규
,,,부품06,사양A,432,-,-,신규,-,공용,-,-,-,-,공용
,,,부품07,사양A,146,-,공용,-,-,공용,-,-,공용,-,공용
,,,부품08,사양A,55,-,-,신규,-,-,공용,-,신규,-,-
,,,부품08,사양B,34,-,공용,-,-,-,신규,-,-,신규,신규
,,,부품09,사양A,310,-,공용,공용,-,공용,신규,-,-,신규,-
,,,부품09,사양B,66,-,공용,신규,-,-,신규,신규,-,-,신규
,,,부품10,사양A,243,-,신규,-,신규,-,신규,공용,-,-,공용
샤시,시스템08,모듈러039,부품01,사양A,234,-,신규,신규,공용,-,공용,-,-,신규,신규
,,,부품02,사양A,71,신규,-,-,-,신규,-,공용,공용,-,-
,,,부품02,사양B,360,신규,-,-,-,신규,공용,-,신규,-,신규
,,,부품03,사양A,471,-,공용,공용,-,-,신규,-,공용,-,-
,,,부품04,사양A,112,공용,신규,-,신규,공용,공용,공용,-,신규,공용
,,,부품04,사양B,403,-,-,공용,공용,공용,-,-,-,-,-
,,,부품05,사양A,231,-,신규,-,공용,신규,-,-,신규,-,공용
,,,부품06,사양A,471,-,-,신규,-,-,공용,-,신규,-,공용
,,,부품06,사양B,264,공용,신규,신규,신규,공용,-,-,-,공용,-
,,,부품07,사양A,317,공용,-,-,-,-,-,공용,-,-,-
,,,부품08,사양A,27,-,신규,공용,신규,공용,-,-,-,-,-
,,,부품08,사양B,290,-,-,신규,-,공용,-,-,-,-,-
,,,부품09,사양A,313,-,공용,공용,-,-,신규,공용,-,-,신규
,,,부품10,사양A,431,신규,-,-,공용,-,-,-,신규,-,공용
,,,부품10,사양B,416,-,-,-,신규,-,-,-,-,-,-
샤시,시스템08,모듈러040,부품01,사양A,278,-,공용,-,-,-,-,-,공용,공용,신규
,,,부품01,사양B,346,공용,-,-,-,-,-,공용,-,-,공용
,,,부품02,사양A,233,공용,신규,-,신규,신규,-,신규,-,-,공용
,,,부품03,사양A,166,-,공용,공용,신규,-,-,공용,공용,신규,신규
,,,부품04,사양A,124,-,-,-,공용,-,공용,-,공용,공용,-
,,,부품04,사양B,487,신규,신규,-,-,공용,-,공용,-,-,-
,,,부품05,사양A,185,-,공용,-,-,공용,신규,-,-,-,신규
,,,부품05,사양B,401,-,-,-,신규,공용,-,신규,공용,신규,-
,,,부품06,사양A,424,-,-,공용,-,공용,-,-,신규,-,-
,,,부품06,사양B,329,-,-,공용,-,-,공용,공용,공용,신규,신규
,,,부품07,사양A,52,신규,-,-,-,-,-,-,-,신규,공용
,,,부품07,사양B,354,신규,-,-,공용,신규,-,-,공용,-,-
,,,부품08,사양A,285,-,-,신규,-,-,-,-,-,신규,-
,,,부품09,사양A,180,신규,-,신규,-,신규,-,신규,신규,공용,-
,,,부품09,사양B,247,-,공용,-,신규,-,-,-,공용,-,-
,,,부품10,사양A,398,-,공용,신규,신규,-,공용,공용,신규,신규,공용
전장,시스템09,모듈러041,부품01,사양A,128,공용,-,신규,-,-,공용,공용,-,-,-
,,,부품01,사양B,106,공용,-,-,-,공용,-,신규,신규,-,-
,,,부품02,사양A,37,-,-,-,-,공용,공용,-,-,신규,-
,,,부품03,사양A,431,-,공용,-,공용,-,-,공용,-,공용,-
,,,부품03,사양B,397,공용,-,-,-,-,-,공용,신규,공용,-
,,,부품04,사양A,309,-,공용,-,-,-,공용,공용,신규,-,-
,,,부품04,사양B,310,-,-,-,공용,-,-,신규,공용,-,신규
,,,부품05,사양A,145,-,-,-,-,공용,공용,-,신규,신규,공용
,,,부품06,사양A,300,공용,-,-,-,-,-,-,신규,공용,-
,,,부품06,사양B,190,-,-,-,신규,공용,공용,-,-,-,-
,,,부품07,사양A,140,-,-,공용,-,신규,-,공용,-,-,신규
,,,부품08,사양A,368,-,-,신규,-,-,공용,-,-,신규,-
,,,부품09,사양A,416,공용,-,-,-,-,신규,-,공용,-,신규
,,,부품10,사양A,304,-,-,신규,신규,-,-,공용,-,공용,-
전장,시스템09,모듈러042,부품01,사양A,43,-,-,-,-,-,-,공용,신규,-,신규
,,,부품02,사양A,13,신규,-,공용,-,-,신규,-,신규,-,-
,,,부품03,사양A,173,신규,-,-,-,공용,신규,공용,신규,공용,-
,,,부품04,사양A,63,공용,공용,-,-,신규,-,-,-,공용,신규
,,,부품05,사양A,481,-,신규,-,신규,공용,-,-,공용,-,공용
,,,부품06,사양A,103,신규,-,-,-,-,신규,공용,공용,-,-
,,,부품06,사양B,273,공용,-,-,-,신규,-,공용,-,신규,-
,,,부품07,사양A,475,-,신규,-,신규,-,공용,-,-,공용,-
,,,부품07,사양B,47,신규,신규,신규,신규,신규,-,-,공용,-,신규
,,,부품08,사양A,63,-,-,공용,-,-,공용,신규,-,신규,-
,,,부품09,사양A,236,-,공용,-,-,-,-,-,-,-,-
,,,부품09,사양B,83,-,신규,-,-,공용,-,공용,신규,-,-
,,,부품10,사양A,368,-,신규,-,-,신규,신규,공용,-,신규,신규
바디,시스템09,모듈러043,부품01,사양A,215,신규,공용,-,신규,-,신규,-,신규,-,-
,,,부품01,사양B,63,신규,-,-,-,신규,-,-,신규,-,공용
,,,부품02,사양A,382,-,-,-,-,공용,-,-,-,공용,-
,,,부품03,사양A,275,공용,-,신규,공용,공용,-,-,공용,공용,신규
,,,부품04,사양A,489,신규,공용,-,-,-,신규,-,-,신규,공용
,,,부품05,사양A,195,-,-,공용,-,-,-,-,-,-,공용
,,,부품06,사양A,425,공용,-,-,-,신규,-,-,신규,신규,-
,,,부품06,사양B,15,공용,-,-,공용,공용,공용,공용,-,-,공용
,,,부품07,사양A,270,신규,-,-,-,-,신규,-,-,-,공용
,,,부품07,사양B,465,-,-,-,-,-,-,-,-,-,-
,,,부품08,사양A,173,-,신규,-,신규,신규,신규,-,-,-,신규
,,,부품09,사양A,249,-,신규,공용,-,신규,-,-,-,-,공용
,,,부품09,사양B,119,-,신규,공용,-,-,-,신규,공용,-,공용
,,,부품10,사양A,121,-,-,-,-,-,공용,신규,공용,공용,신규
,,,부품10,사양B,166,신규,공용,-,-,-,-,-,-,-,공용
전장,시스템09,모듈러044,부품01,사양A,270,-,-,-,-,-,-,공용,신규,-,공용
,,,부품01,사양B,193,공용,신규,공용,-,-,신규,신규,-,-,-
,,,부품02,사양A,486,공용,신규,-,-,공용,-,신규,-,신규,신규
,,,부품02,사양B,436,-,-,신규,-,-,신규,-,공용,공용,-
,,,부품03,사양A,496,-,-,공용,-,-,-,-,-,-,-
,,,부품04,사양A,402,-,-,-,-,공용,공용,공용,-,-,-
,,,부품04,사양B,409,-,-,-,-,-,-,-,-,-,-
,,,부품05,사양A,459,신규,신규,공용,신규,-,공용,신규,-,신규,-
,,,부품05,사양B,41,-,-,-,신규,-,-,공용,공용,공용,신규
,,,부품06,사양A,215,-,-,-,공용,신규,-,신규,-,-,공용
,,,부품07,사양A,204,신규,-,공용,공용,-,공용,-,신규,신규,-
,,,부품07,사양B,104,-,신규,-,공용,-,공용,신규,-,-,공용
,,,부품08,사양A,218,-,-,-,-,-,-,신규,공용,-,-
,,,부품09,사양A,106,-,-,신규,-,-,-,-,신규,-,공용
,,,부품09,사양B,454,-,공용,신규,-,-,신규,신규,-,-,공용
,,,부품10,사양A,34,-,신규,-,신규,-,-,-,공용,공용,-
,,,부품10,사양B,360,-,-,-,신규,-,-,-,공용,-,-
샤시,시스템09,모듈러045,부품01,사양A,109,-,-,-,-,공용,-,공용,신규,공용,-
,,,부품02,사양A,446,신규,공용,공용,공용,공용,-,신규,-,-,-
,,,부품02,사양B,211,공용,-,-,신규,신규,-,공용,-,공용,신규
,,,부품03,사양A,38,-,-,공용,-,-,-,-,신규,-,신규
,,,부품04,사양A,317,-,신규,-,-,-,신규,-,신규,공용,-
,,,부품05,사양A,103,-,신규,-,신규,-,-,-,신규,-,신규
,,,부품05,사양B,288,공용,신규,공용,-,-,-,공용,신규,신규,신규
,,,부품06,사양A,248,-,신규,공용,-,-,공용,-,신규,공용,-
,,,부품07,사양A,358,-,신규,공용,공용,-,-,-,-,신규,신규
,,,부품08,사양A,492,-,-,공용,공용,신규,-,-,-,-,-
,,,부품09,사양A,448,신규,신규,신규,-,-,-,신규,신규,신규,-
,,,부품09,사양B,96,공용,-,-,신규,-,-,-,-,-,공용
,,,부품10,사양A,220,-,-,신규,-,-,공용,신규,신규,-,공용
,,,부품10,사양B,229,공용,신규,-,-,공용,-,공용,-,-,-
전장,시스템10,모듈러046,부품01,사양A,489,-,-,-,-,-,-,-,-,공용,신규
,,,부품02,사양A,146,-,-,-,-,-,신규,-,-,-,신규
,,,부품03,사양A,393,-,-,-,공용,신규,-,공용,-,공용,공용
,,,부품03,사양B,231,-,-,-,-,-,-,신규,신규,신규,공용
,,,부품04,사양A,488,-,-,-,-,-,공용,-,공용,-,공용
,,,부품04,사양B,186,-,-,-,신규,공용,-,-,-,-,-
,,,부품05,사양A,144,공용,신규,신규,-,-,-,-,공용,신규,-
,,,부품06,사양A,499,신규,공용,-,-,-,-,신규,공용,공용,-
,,,부품07,사양A,368,-,-,-,공용,신규,-,신규,-,공용,공용
,,,부품07,사양B,440,공용,공용,-,-,공용,공용,신규,-,-,신규
,,,부품08,사양A,156,-,-,공용,신규,-,신규,-,-,-,-
,,,부품09,사양A,264,신규,-,공용,-,-,공용,-,공용,공용,-
,,,부품09,사양B,434,-,신규,공용,-,공용,공용,-,-,공용,-
,,,부품10,사양A,372,신규,신규,-,신규,-,-,-,-,공용,공용
파워트레인,시스템10,모듈러047,부품01,사양A,487,-,공용,-,신규,-,공용,-,공용,공용,공용
,,,부품01,사양B,419,-,공용,-,공용,공용,-,신규,신규,-,-
,,,부품02,사양A,456,신규,공용,-,공용,-,-,공용,공용,-,-
,,,부품03,사양A,66,공용,-,신규,-,-,-,공용,-,-,신규
,,,부품03,사양B,106,-,-,-,신규,공용,신규,-,-,-,-
,,,부품04,사양A,366,-,신규,공용,신규,-,-,-,-,-,-
,,,부품05,사양A,407,신규,공용,신규,신규,신규,-,공용,-,-,-
,,,부품06,사양A,323,-,공용,신규,공용,공용,공용,-,-,공용,-
,,,부품07,사양A,14,-,-,-,신규,-,신규,-,공용,-,-
,,,부품08,사양A,455,-,-,-,-,공용,신규,-,-,-,신규
,,,부품09,사양A,210,공용,-,-,-,-,-,신규,-,-,신규
,,,부품09,사양B,54,-,공용,신규,신규,-,공용,-,-,-,-
,,,부품10,사양A,465,신규,-,-,공용,신규,-,-,-,공용,-
,,,부품10,사양B,314,신규,-,신규,신규,-,-,-,-,-,신규
전장,시스템10,모듈러048,부품01,사양A,58,-,-,공용,-,공용,공용,신규,-,-,-
,,,부품01,사양B,100,-,공용,-,-,공용,공용,-,-,-,공용
,,,부품02,사양A,64,-,공용,-,-,-,-,-,신규,-,공용
,,,부품02,사양B,44,신규,-,공용,신규,신규,-,-,공용,공용,-
,,,부품03,사양A,285,-,-,공용,공용,-,-,-,-,-,신규
,,,부품04,사양A,53,-,-,-,신규,-,공용,-,-,신규,-
,,,부품04,사양B,287,공용,신규,-,신규,공용,-,-,-,공용,-
,,,부품05,사양A,103,-,-,-,신규,신규,공용,-,신규,-,신규
,,,부품05,사양B,70,-,-,-,-,신규,-,-,-,-,-
,,,부품06,사양A,391,공용,신규,공용,신규,-,공용,공용,신규,-,공용
,,,부품06,사양B,25,신규,-,-,공용,신규,공용,-,-,신규,공용
,,,부품07,사양A,462,공용,공용,공용,-,-,-,-,공용,공용,신규
,,,부품07,사양B,447,-,공용,-,-,신규,신규,공용,-,-,-
,,,부품08,사양A,182,공용,공용,공용,-,-,공용,-,-,공용,-
,,,부품08,사양B,376,-,-,-,공용,-,-,-,-,-,-
,,,부품09,사양A,202,공용,-,-,신규,공용,-,-,-,공용,공용
,,,부품10,사양A,469,공용,-,공용,-,-,-,-,공용,-,-
,,,부품10,사양B,300,신규,-,-,신규,-,-,-,신규,공용,-
샤시,시스템10,모듈러049,부품01,사양A,95,-,공용,-,-,-,신규,-,-,-,-
,,,부품02,사양A,141,-,신규,-,공용,-,-,-,-,신규,-
,,,부품02,사양B,431,공용,-,신규,공용,-,-,신규,공용,신규,-
,,,부품03,사양A,358,신규,-,-,공용,-,-,-,공용,-,-
,,,부품03,사양B,337,신규,공용,-,-,-,-,공용,-,-,-
,,,부품04,사양A,41,신규,신규,공용,공용,-,-,-,-,공용,신규
,,,부품04,사양B,235,-,-,-,-,공용,-,공용,공용,-,공용
,,,부품05,사양A,45,-,-,신규,신규,공용,-,-,공용,-,신규
,,,부품06,사양A,254,-,-,공용,-,-,신규,공용,-,신규,-
,,,부품06,사양B,130,공용,공용,공용,공용,신규,-,-,-,공용,-
,,,부품07,사양A,252,공용,-,-,신규,공용,신규,-,신규,신규,-
,,,부품08,사양A,185,-,신규,-,-,-,-,-,-,-,공용
,,,부품09,사양A,97,-,-,-,-,-,공용,신규,-,신규,신규
,,,부품09,사양B,351,공용,-,-,공용,신규,신규,-,-,공용,공용
,,,부품10,사양A,92,공용,신규,-,-,공용,-,신규,공용,-,-
,,,부품10,사양B,62,-,-,신규,공용,-,-,공용,-,신규,-
